ELE.POWER,OAT
1093.800049,27.796875
1041.199951,7.6796875
1037.5,81.0625
1031.900024,66.625
1031.199951,81.1875
1030.900024,74.5
1024.599976,78.5625
1022.299988,47.71875
1020.200012,69.1875
1019.599976,62.875
1018.599976,75.1875
1018.5,74.3125
1016.599976,70.9375
1015.400024,57.34375
1015.200012,70.5
1015,82.3125
1013.599976,46.71875
1011.799988,70.8125
1011.799988,83
1011.799988,75.5625
1011.599976,67.875
1009.900024,65.875
1009.799988,70
1009.599976,75.4375
1008.599976,66.5
1008.099976,73.1875
1008.099976,63.78125
1007.900024,62.375
1006.799988,84.8125
1006.700012,46.21875
1006.599976,73.0625
1006.400024,53.125
1005.200012,46.53125
1005.099976,69.75
1005,65.875
1004.400024,72.5625
1004,75.75
1003.799988,66
1003.700012,51.46875
1003.400024,81.25
1002.799988,78.75
1002.099976,20.234375
1001.799988,79.5625
1001.799988,73.0625
1001.700012,74
1001.700012,60.375
1001.5,71.0625
1001.299988,53.15625
1000.599976,74.5625
999.9000244,76.4375
999.5999756,71.0625
999.5,71.4375
999.4000244,68.125
999.2000122,58
999.2000122,67.625
999,67.5625
998.9000244,78.25
998.9000244,28.625
998.7999878,82.8125
998.7000122,72.5625
998.2999878,86
997.7000122,59.53125
997.2000122,78.8125
997.2000122,74.9375
996.7999878,68.5625
996.7999878,66
996.7999878,76.875
996.5,67.8125
996.2999878,46.28125
996.2000122,58.6875
996.0999756,79.4375
995.0999756,66.1875
995,80.0625
994.7999878,81.8125
994.7000122,63.84375
994.5,60.46875
994.5,64.3125
994.2999878,68.4375
994.0999756,71.0625
994,58
993.9000244,72.1875
993.7000122,61.4375
993.7000122,85.875
993.5999756,72.9375
993.5,72.25
993.2000122,72.875
993.0999756,82.875
993.0999756,68.4375
993,76.4375
993,40.71875
992.9000244,61.25
992.7000122,83.5625
992.7000122,55.84375
992.5,76.625
992.2999878,64.25
992.2999878,35.28125
992,52.3125
991.7000122,85.75
991.7000122,73.125
991.7000122,49.65625
991.5999756,67
991.2000122,75
991,77.5
991,76.1875
991,77.0625
991,82
990.9000244,62.875
990.7999878,78.25
990.7000122,65.5625
990.5999756,82.3125
990.2000122,78.6875
990.0999756,74.375
990.0999756,80.625
990,72.625
989.9000244,74.625
989.9000244,49.75
989.7999878,63.21875
989.5,63.84375
989.4000244,76.9375
989.2999878,64.25
989.2000122,78.0625
989,13.359375
988.9000244,79.375
988.7000122,72.25
988.7000122,75.4375
988.7000122,55.25
988.7000122,79.375
988.5,71.4375
988.2999878,83.375
988.2999878,45.8125
988.2000122,75.75
988.0999756,63.53125
988,76.9375
987.7999878,65
987.7000122,70.125
987.7000122,68.4375
987.5999756,74.25
987.4000244,73.25
987.2999878,65.875
987.2999878,74.4375
987.2999878,73.8125
987.2000122,77.125
987.0999756,63.96875
987.0999756,72.4375
987.0999756,63.21875
987,65.3125
986.7999878,61.4375
986.7000122,81.8125
986.4000244,66.875
986.4000244,66.75
986.2999878,66.8125
986.2999878,79.4375
986.0999756,76.5
986.0999756,63.71875
985.7999878,85.125
985.7999878,68.1875
985.7000122,64.0625
985.7000122,73.75
985.5999756,45.375
985.5,71.75
985.5,79.125
985.5,66.3125
985.4000244,87.9375
985.2999878,68.5
985.2999878,65.3125
984.9000244,79.5625
984.7999878,57.75
984.7000122,83
984.5,73.875
984.5,73
984.4000244,79
984.2999878,74.0625
984.2000122,62.3125
984.2000122,79.9375
984,47.375
983.9000244,71
983.7999878,64.8125
983.7999878,74.4375
983.5999756,68.375
983.4000244,64
983.2999878,66.6875
983.2999878,48.28125
983.2000122,64.5625
983,66.3125
982.7999878,51.21875
982.7000122,40.25
982.5999756,60.46875
982.5,39.3125
982.2999878,48.75
982.2000122,73.0625
982.0999756,49.9375
982,75
982,52.90625
982,44.15625
981.9000244,43.4375
981.7999878,79.9375
981.5999756,45.84375
981.5,82.5
981.2999878,59.84375
981.2999878,54.625
981.2999878,70.6875
981.2000122,64.375
981.0999756,55.5625
981.0999756,53.125
981.0999756,41.40625
980.9000244,65.25
980.7999878,71.25
980.7000122,30.421875
980.5,78.75
980.5,54.625
980.4000244,77.875
980.2999878,89.25
980.2999878,81.625
980.2999878,81.8125
980.2000122,65.625
980.2000122,66.0625
980.2000122,69.4375
980.2000122,65
980.2000122,32.65625
980.2000122,19.03125
980.0999756,75.25
980.0999756,66.625
980,77.9375
979.7999878,82.0625
979.5999756,67.6875
979.5,40.84375
979.2999878,79.0625
979.2999878,81.6875
979.2000122,72.125
979.2000122,54.4375
979.0999756,76.8125
979.0999756,54.90625
979,56.21875
978.7000122,64.6875
978.7000122,67.625
978.7000122,79.625
978.5,85.4375
978.5,78.5
978.2999878,71.25
978.2999878,83.0625
978.2999878,58.375
978.2000122,72
978.2000122,62.875
978.2000122,73.6875
978.2000122,63.75
978.2000122,82.9375
978.2000122,67
978.2000122,74.0625
978.2000122,83.5625
978,67.8125
978,75.1875
977.7000122,46.15625
977.4000244,65.3125
977.2999878,61.1875
977.2999878,76.625
977.2000122,62.65625
977.2000122,46.78125
977.0999756,71.9375
977.0999756,79.625
976.9000244,75.375
976.7999878,84.5625
976.7000122,50.09375
976.5999756,68
976.5999756,72.8125
976.5999756,64.25
976.5999756,68
976.5999756,69.375
976.5,71.9375
976.4000244,69.8125
976.2999878,77.875
976.2999878,71.875
976.2999878,67.0625
976.2000122,62.65625
976.0999756,82.9375
976.0999756,61.46875
976.0999756,67.9375
976.0999756,31.015625
976,70.9375
975.7999878,48.15625
975.7000122,55.34375
975.7000122,76.3125
975.7000122,80.375
975.5,79.25
975.5,68.375
975.5,74.8125
975.5,80.3125
975.4000244,73.8125
975.2999878,65.875
975.2000122,74.3125
975.0999756,52.75
975,72.6875
975,77.375
975,68.8125
974.9000244,64.0625
974.9000244,57.3125
974.9000244,43.59375
974.9000244,35.03125
974.7000122,63.125
974.5999756,64.8125
974.5999756,73.3125
974.5999756,87.625
974.5,86.8125
974.4000244,65.1875
974.4000244,65.6875
974.2999878,63.1875
974.2999878,78.875
974.2999878,70
974.2000122,72.1875
974.2000122,76.625
974.2000122,34.5625
974.2000122,35
974.0999756,83
974.0999756,53.21875
974,48.96875
973.7999878,78.8125
973.7999878,49.25
973.7000122,76.3125
973.7000122,58.0625
973.5,78.25
973.4000244,65.875
973.4000244,64.625
973.4000244,75.8125
973.2999878,70.5625
973.2000122,49.375
973.2000122,41.5
973.0999756,75.1875
973.0999756,72.25
973.0999756,72.0625
973.0999756,71.5625
973,54.5
973,77.4375
973,70.625
972.9000244,53.875
972.9000244,67.875
972.7999878,83.9375
972.7000122,67.625
972.7000122,79.5
972.5999756,63.53125
972.5999756,84.5
972.5999756,58.0625
972.5,81.125
972.5,71.0625
972.5,67.25
972.4000244,68.1875
972.2999878,60.59375
972.2999878,80.4375
972.2000122,59.90625
972.2000122,90.0625
972.2000122,85.1875
972.0999756,66.5
972,65
971.9000244,68.1875
971.9000244,30.046875
971.7999878,74.625
971.7000122,65.75
971.7000122,38.5
971.5999756,63.34375
971.4000244,76.5625
971.4000244,74.3125
971.2999878,76.8125
971.2000122,72.125
971.2000122,65.9375
971.2000122,57.3125
971.0999756,72.875
971.0999756,72.5
970.9000244,87.5625
970.9000244,76.875
970.7999878,77.125
970.7999878,57.21875
970.7999878,43.96875
970.7000122,58
970.7000122,44.78125
970.5999756,76.9375
970.5999756,56
970.5,77.75
970.5,71.5625
970.5,51.0625
970.4000244,77.3125
970.4000244,69.875
970.4000244,47.5625
970.2999878,80.75
970.2999878,41.625
970.2000122,83.6875
970.2000122,77.5
970.2000122,73.4375
970.0999756,54.40625
970.0999756,54.34375
970.0999756,57.8125
970,76.5625
970,73
970,82.4375
969.9000244,69.625
969.9000244,60.125
969.9000244,64.4375
969.7999878,76.6875
969.7999878,70.8125
969.7000122,66.8125
969.7000122,60.25
969.7000122,65.25
969.7000122,79.75
969.5999756,59.5625
969.5,73.4375
969.5,60.46875
969.5,85.0625
969.5,34.59375
969.4000244,64.5625
969.4000244,84
969.4000244,72.4375
969.2999878,71.8125
969.2999878,44.34375
969.2000122,64
969.2000122,79.9375
969.2000122,65.9375
969.0999756,63.375
969.0999756,72.375
969.0999756,56.375
969.0999756,46.09375
969,69.0625
968.9000244,64.4375
968.7999878,61.625
968.7999878,45.875
968.7999878,33.46875
968.7000122,78.75
968.7000122,68.25
968.5999756,84.0625
968.5,47.21875
968.5,82
968.5,68.3125
968.5,73.3125
968.5,73.25
968.5,25.59375
968.4000244,63.46875
968.4000244,82
968.2999878,59.03125
